181,ALAPAHA,11,380,31.384,-83.2214
182,ALBA,44,2750,32.8159,-95.7056
183,ALBANY,5,173,37.8895,-122.298
184,ALBANY,11,417,31.5606,-84.1816
185,ALBANY,15,774,41.7296,-90.1597
186,ALBANY,16,796,40.278,-85.2741
187,ALBANY,18,1002,36.7457,-85.182
188,ALBANY,19,1127,30.527,-90.7422
189,ALBANY,24,1369,45.6147,-94.4942
190,ALBANY,25,1421,40.2566,-94.3309
191,ALBANY,35,1962,42.6525,-73.8776
192,ALBANY,36,2028,39.2408,-82.1771
193,ALBANY,38,2210,44.5945,-122.582
194,ALBANY,44,2709,32.7682,-99.2102
195,ALBANY,47,2927,44.7417,-72.3646
196,ALBANY,49,2993,42.7128,-89.4512
197,ALBEMARLE,28,1719,35.292,-80.1808
198,ALBERS,15,690,38.5143,-89.6272
199,ALBERT,17,875,38.4205,-98.9134
200,ALBERT CITY,13,544,42.735,-95.1511
201,ALBERT LEA,24,1320,43.6863,-93.3898
202,ALBERTA,2,81,32.1456,-87.3549
203,ALBERTA,24,1371,45.586,-96.0008
204,ALBERTA,46,2798,36.8581,-77.8946
205,ALBERTON,27,1610,46.9893,-114.558
206,ALBERTSON,28,1666,35.1037,-77.825
207,ALBERTSON,35,1991,40.7548,-73.6018
208,ALBERTVILLE,2,63,34.3183,-86.2178
209,ALBERTVILLE,24,1382,45.2587,-93.6643
210,ALBIA,13,601,41,-92.8352
211,ALBIN,51,3108,41.3355,-104.249
212,ALBION,5,195,39.168,-123.393
213,ALBION,13,597,42.1439,-92.9619
214,ALBION,14,648,42.3393,-113.461
215,ALBION,15,700,38.3288,-88.0642
216,ALBION,16,835,41.376,-85.4139
217,ALBION,22,1203,44.5304,-69.64
218,ALBION,23,1226,42.2906,-84.7929
219,ALBION,30,1794,41.6487,-98.0111
220,ALBION,35,1998,43.2351,-78.1943
221,ALBION,39,2249,41.8947,-80.3111
222,ALBORN,24,1365,47.0149,-92.6123
223,ALBRIGHT,50,3081,39.5164,-79.6177
224,ALBRIGHTSVILLE,39,2237,41.0126,-75.5608
225,ALBUQUERQUE,33,1913,35.0738,-106.62
226,ALBURG,47,2924,44.9361,-73.2891
227,ALBURNETT,13,590,42.1571,-91.6458
228,ALBURTIS,39,2263,40.5145,-75.6029
229,ALCESTER,42,2405,42.9317,-96.6243
