256,SCOTT,45,36.7168,-82.584
257,GLADWIN,22,43.9556,-84.3646
258,GRUNDY,12,42.3736,-92.7853
259,LINCOLN,21,43.9844,-69.5501
260,BOONE,15,40.0205,-86.4833
261,HENDRICKS,15,39.7544,-86.5234
262,MONTMORENCY,22,45.0011,-84.1381
263,OGEMAW,22,44.3553,-84.0957
264,BUCHANAN,24,39.7003,-94.8221
265,EARLY,10,31.2573,-84.869
266,AVOYELLES,18,31.0602,-92.0108
267,ELMORE,13,43.1486,-115.408
268,WASHBURN,48,45.897,-91.7738
269,GALAX CITY,45,36.6603,-80.9136
270,MARION,35,40.5844,-83.141
271,DUPLIN,27,34.9488,-77.9526
272,BRADLEY,42,35.1871,-84.8564
273,SAN JACINTO,43,30.663,-95.1766
274,LIBERTY,10,31.806,-81.5255
275,RINGGOLD,12,40.7421,-94.2122
276,POLK,9,27.9941,-81.7075
277,MACON,42,36.5227,-85.9459
278,LAWRENCE,15,38.8451,-86.5207
279,POTTAWATOMIE,36,35.1975,-96.9396
280,LA PLATA,6,37.2301,-107.913
281,BOUNDARY,13,48.7412,-116.418
282,BLACKFORD,15,40.4943,-85.311
283,BIENVILLE,18,32.3511,-93.0567
284,MIAMI-DADE,9,25.6823,-80.3581
285,GREEN,48,42.667,-89.6038
286,ITASCA,23,47.3955,-93.5578
287,JERAULD,41,44.0863,-98.5042
288,CROSS,3,35.3199,-90.7719
289,OTOE,29,40.6446,-96.1664
290,LAFOURCHE,18,29.5886,-90.4805
291,WAHKIAKUM,47,46.2951,-123.501
292,EMANUEL,10,32.5385,-82.3267
293,WAYNE,10,31.5812,-81.9285
294,LAFAYETTE,48,42.6365,-90.0795
295,PALO ALTO,12,43.067,-94.6981
296,ASHE,27,36.4235,-81.4732
297,NORTON,16,39.7785,-99.8773
298,MISSISSIPPI,3,35.7101,-90.0505
299,FRANKLIN,47,46.5017,-118.93
300,MILWAUKEE,48,43.0306,-87.9132
301,GALLATIN,26,45.5328,-111.187
302,COLUSA,5,39.1926,-122.175
303,PARK,50,44.607,-109.262
